id,coder,coder_number,coder_text,pmcid,protocol,include,participants,participants_text,journal,publisher,pub_year,impact_factor,verbatim,power_calc_type,power_calc_type_text,multiple,stats_knowledge,version,version_text,power,power_text,alpha,alpha_text,sample_size,sample_size_text,effect_size_type,effect_size_type_other_standardized_text,effect_size_type_other_nonstandardized_text,effect_size_value,effect_size_value_text,stat_test,stat_test_other_regression_text,stat_test_other_nonregression_text,other_info_missing,reproducible,reproducible_text,justification,justification_text,mult_compare,mult_compare_text,anova_within_between,match,match_text,error,error_text,impact,comments_calc,comments_general
8,RTT,2,,PMC8146508,No,Include,Humans,,Sports (Basel),,2021,NA,"Sixty (N = 60; age: 21.03 Â± 2.1 years, body weight: 59.8 Â± 9.7 kg, body height: 166.2 Â± 6.5 cm) healthy female university students (power analysis: 0.921; G*Power ver. 3.1; FrankFaul, Universitat Kiel, Kiel, Germany) completed the experimental procedures (Table 1).",Unsure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,EZ/RTT,,,PMC8146508,No,Include,Humans,,Sports (Basel),MDPI,2021,NA,"Sixty (N = 60; age: 21.03 Â± 2.1 years, body weight: 59.8 Â± 9.7 kg, body height: 166.2 Â± 6.5 cm) healthy female university students (power analysis: 0.921; G*Power ver. 3.1; FrankFaul, Universitat Kiel, Kiel, Germany) completed the experimental procedures (Table 1).",Solves for power (often called post hoc),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Not completely unambiguous, but almost surely solves for power",
8,resolveNotes,,,,,,,,,,,,nc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,EZ,1,,PMC8459248,No,Include,Humans,,PSYCHOPHYSIOLOGY,,2021,3.692,"Power analysis with G*Power 3.1 (Faul et al., 2009) indicated a necessary sample size of 100 participants to detect moderate effect sizes of f = 0.20 with Î± = .05, 80% power, a moderate correlation among repeated measures (r = .30), nonsphericity correction of 1, and two measurements in a fourâ€group repeated measures ANOVA.",Solves for sample size (often called a priori),,No,Probably,Yes,3.1,Yes,0.8,Yes,0.05,Yes,100,f,,,Yes,0.2,ANOVA,,,,"Yes, based solely on the information in the article or its supplementary material",,"Conventions of small, medium, and large effect sizes (e.g., ""we powered for a medium effect size of Cohen's d = 0.5"")",,"No, and the article contains multiple analyses with no clear indication of a sole primary analysis for which this power calculation is for. (Note, if they are powering for an ANOVA and reporting multiple effects--e.g., two main effects and an interaction for a 2x2 ANOVA--then there should be a correction for multiple comparisons).",4x2 ANOVA within-between w/o multiple comparisons correction.,"Yes, but the researchers use the default option without accounting for it (e.g., powering for a ""medium"" effect size by entering f = 0.25).",Yes,NTA,Yes,NTA,When adjusting for the default ANOVA option and using Cohen's method instead you get a sample size that is required that is 280 instead of 100 using an f(V) of 0.2,,
9,RTT,2,,PMC8459248,No,Include,Humans,,Psychophysiology,,2021,3.692,"Power analysis with G*Power 3.1 (Faul et al., 2009) indicated a necessary sample size of 100 participants to detect moderate effect sizes of f = 0.20 with Î± = .05, 80% power, a moderate correlation among repeated measures (r = .30), nonsphericity correction of 1, and two measurements in a fourâ€group repeated measures ANOVA. We assumed moderate effect size for the HF HRV variable based on previous studies that found a moderate effect with a comparable similar methodology (Iffland et al., 2014; Î·2p = .11) and the large effect size for selfâ€reported distress and behavioral measure of aggression based on the Cyberball literature (d = 1.36; Hartgerink et al., 2015).",Solves for sample size (often called a priori),,No,Yes,Yes,3.1,Yes,0.8,Yes,0.05,Yes,100,f,,,Yes,0.2,ANOVA,,,"whether it's within, between, or within-between","Yes, but I've had to make some assumptions. (please list the assumptions you made)",within-between; default option,Previously published research,,"No, and the article contains multiple analyses with no clear indication of a sole primary analysis for which this power calculation is for. (Note, if they are powering for an ANOVA and reporting multiple effects--e.g., two main effects and an interaction for a 2x2 ANOVA--then there should be a correction for multiple comparisons).",2x2x2 ANOVAs are reported,"Yes, but the researchers use the default option without accounting for it (e.g., powering for a ""medium"" effect size by entering f = 0.25).",No,they power for a 2x4 ANOVA but only report 2x2x2 ANOVAs,No,NTA,"ES is 0.3380617 vs 0.2 when using cohen's option. Alternatively, the sample size required is 280 instead of 100.",,
9,EZ/RTT,,,PMC8459248,No,Include,Humans,,Psychophysiology,WILEY,2021,3.692,"Power analysis with G*Power 3.1 (Faul et al., 2009) indicated a necessary sample size of 100 participants to detect moderate effect sizes of f = 0.20 with Î± = .05, 80% power, a moderate correlation among repeated measures (r = .30), nonsphericity correction of 1, and two measurements in a fourâ€group repeated measures ANOVA. We assumed moderate effect size for the HF HRV variable based on previous studies that found a moderate effect with a comparable similar methodology (Iffland et al., 2014; Î·2p = .11) and the large effect size for selfâ€reported distress and behavioral measure of aggression based on the Cyberball literature (d = 1.36; Hartgerink et al., 2015).",Solves for sample size (often called a priori),,No,,Yes,3.1,Yes,0.8,Yes,0.05,Yes,100,f,,,Yes,0.2,ANOVA,,,,"Yes, but I've had to make some assumptions. (please list the assumptions you made)",within-between; default option,Previously published research,,"No, and the article contains multiple analyses with no clear indication of a sole primary analysis for which this power calculation is for. (Note, if they are powering for an ANOVA and reporting multiple effects--e.g., two main effects and an interaction for a 2x2 ANOVA--then there should be a correction for multiple comparisons).",,"Yes, but the researchers use the default option without accounting for it (e.g., powering for a ""medium"" effect size by entering f = 0.25).",No,they power for a 2x4 ANOVA but only report 2x2x2 ANOVAs,No,,"ES is 0.3380617 vs 0.2 when using cohen's option. Alternatively, the sample size required is 280 instead of 100.",,
9,resolveNotes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nc,,nc,,,,,,,,,,,
10,EZ,1,,PMC8676939,No,Include,Humans,,Behavior Research Methods,,2021,4.425,"This sample size was determined a priori using G*Power (Faul et al., 2007, 2009) based on an effect size derived from a previous paired-samples t test contrasting pre- and postexercise antisaccade RTs via a high-resolution eye tracker (Œ± = 0.05, power = 0.99) (dz=1.14; Samani & Heath, 2018).",Solves for sample size (often called a priori),,No,Yes,No,,Yes,0.99,Yes,0.05,No,,d,,,Yes,1.14,t-test,,,,No,,Previously published research,,"No, and the article contains multiple analyses with no clear indication of a sole primary analysis for which this power calculation is for. (Note, if they are powering for an ANOVA and reporting multiple effects--e.g., two main effects and an interaction for a 2x2 ANOVA--then there should be a correction for multiple comparisons).",Not sure what the primary outcome is so difficult to know what they're testing for but they have many statistical sig tests.,No,Yes,NTA,No,Don't see why,They don't report their sample size so difficult to know.,,
10,RTT,2,,PMC8676939,No,Include,Humans,,Behavior Research Methods,,2021,4.425,"Fifty English-speaking individuals (18 female, age range 18â€“26 years) volunteered for this study over a 3-month period with advertising for the study completed via social media (i.e., Facebook, Instagram, Twitter). This sample size was determined a priori using G*Power (Faul et al., 2007, 2009) based on an effect size derived from a previous paired-samples t test contrasting pre- and postexercise antisaccade RTs via a high-resolution eye tracker (Î± = 0.05, power = 0.99) (dz=1.14; Samani & Heath, 2018).",Solves for sample size (often called a priori),,No,Yes,No,,Yes,0.99,Yes,0.05,Yes,50,d,,,Yes,1.14,t-test,,,tails,No,,Previously published research,,"No, and the article contains multiple analyses with no clear indication of a sole primary analysis for which this power calculation is for. (Note, if they are powering for an ANOVA and reporting multiple effects--e.g., two main effects and an interaction for a 2x2 ANOVA--then there should be a correction for multiple comparisons).",NTA,No,Yes,NTA,Yes,"I can reproduce the calculation, but for an independents sample two-tailed t-test. I don't see how they could have calculated a sample size of 50 with the effect size for a paired-sample t-test.",over sampled to 50 participants. Only needed 17. They could have detected an ES of 0.6185067,,
10,EZ/RTT,,,PMC8676939,No,Include,Humans,,Behavior Research Methods,SPRINGER,2021,4.425,"This sample size was determined a priori using G*Power (Faul et al., 2007, 2009) based on an effect size derived from a previous paired-samples t test contrasting pre- and postexercise antisaccade RTs via a high-resolution eye tracker (Œ± = 0.05, power = 0.99) (dz=1.14; Samani & Heath, 2018).",Solves for sample size (often called a priori),,No,Yes,No,,Yes,0.99,Yes,0.05,Yes,50,d,,,Yes,1.14,t-test,,,,No,,Previously published research,,"No, and the article contains multiple analyses with no clear indication of a sole primary analysis for which this power calculation is for. (Note, if they are powering for an ANOVA and reporting multiple effects--e.g., two main effects and an interaction for a 2x2 ANOVA--then there should be a correction for multiple comparisons).",Not sure what the primary outcome is so difficult to know what they're testing for but they have many statistical sig tests.,No,Yes,NTA,Yes,"I can reproduce the calculation, but for an independents sample two-tailed t-test. I don't see how they could have calculated a sample size of 50 with the effect size for a paired-sample t-test.",,,
